date,title,proposed,n,source,flag,evidence,key
2022-09-03,A Better Batmobile Episode 11 | Batman Incorporated Part 3,Paul Jaissle; Mike Rapin,2,series+description,,Paul hosts Mike to wrap up the final two episodes of A Better Batmobile! This time... it's emotional. FULL SPOILERS for: Batman Incorporated vol 2 #7-13 Want a shirt? Grab one now ,p:71048539
2022-09-25,September 2022 Goodreads Book of the Month - 2022 Eisner Award Winners,Mike Rapin; Kait Lamphere; Zander,3,description,,"This month, Mike and Kait jump into September's Book of the Month theme, 2022 Eisner Award Winners! This month, they picked a two-in-one-special for this month's theme AND Zander",p:72219147
2022-10-30,Saga of Saga: Volume 10,Kait Lamphere; Kara Szamborski; Mike Rapin; Brian Murray,4,saga-volume-doc,,prep-doc notes under Volume 10,p:73977511
2022-11-27,IRCB Movie Club #12: Blade (1998),Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"Paul and his vampire spawns, Mike and Brian, discuss the 1998 classic Blade . ",p:74959188
2022-11-27,November 2022 Goodreads Book of the Month - 2022 Eisner Award Winners,Mike Rapin; Kait Lamphere,2,description,,"This month, Mike and Kait jump into November's Book of the Month theme: Non-Traditionally Collected/Released Comics! Together, they picked Lore Olympus Vol. 1 - spoilers ahead! Che",p:74958525
2022-12-29,IRCB Live Episode,Brian Murray; Daniel Martinez; Mike Rapin,3,description,,"You may have been there live with us , but if not, Brian, Danny, and Mike tested a live broadcast to YouTube and Twitch in prep for a LIVE episode for our Annual Episode (more deta",p:76513390
2022-12-30,IRCB - The Princess Bride (1987),Kait Lamphere; Mike Rapin; Nick White,3,description,,THE AUDIO VERSION - Press play on the movie and this audio at the same time and everything should sync up perfectly! As requested by Tom for his Ultra-Fantastic Human Being episode,p:76522613
2023-01-29,IRCB's Best of 2022,,0,hold,hold,"the description lists whose picks were discussed, not who recorded — it names all ten regulars",p:77893616
2023-02-01,IRCB Episode 357 Q&A,Paul Jaissle; Kait Lamphere; Daniel Martinez; Mike Rapin,4,public-episode,,panel of public EP. 357,p:77662829
2023-02-27,IRCB Movie Club #13: Spider-Man: Into the Spider-Verse (2018),Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"A multiversal episode in the making, Paul, Mike, and Brian are joined by Kev from the Austin Danger Podcast to talk about Spider-Man: Into The Spider-Verse! Is this the best super ",p:79256069
2023-03-26,A Better Batmobile S02E01: The Untold Legend of the Batman,Paul Jaissle; Mike Rapin,2,series+description,,"SEASON TWO BEGINS HERE! Paul is joined by Mike to discuss one of Paul's favorite Batman stories, The Untold Legend of the Batman. Mike asks the question: Is this the best Batman st",p:80536571
2023-04-30,Mike's X-Men Blind Box (Pilot),Mike Rapin; Brian Murray; Paloma Deerfield; Kara Szamborski,4,description,,"Mike asked Brian, Paloma, and Kara to travel blindly with him into the depths of X-Men... In a chaotic move, Mike asked Brian, Paloma, and Kara to travel blindly with him into the ",p:81901237
2023-05-16,I Read Comic Books Episode 373 | ”Intention to Arouse” (ft. Amie Wright),Mike Rapin; Paul Jaissle; Tia Vasiliou,3,description,,"Mike, Paul, and Tia are joined by Amie Wright, chairperson on the Graphic Novels and Comics Round Table committee within the American Library Association to talk comic book challen",p:83065218
2023-05-28,IRCB Movie Club #14: American Splendor (2003),Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,Paul finally got his wish and Mike and Brian had to endure it as they watched American Splendor (2003). You'll be surprised how the whole group felt about this movie. But we still ,p:83603009
2023-06-26,A Better Batmobile S02E02: Batman in the 1940s,Paul Jaissle; Daniel Martinez,2,series+description,,"SEASON TWO CONTINUES! Paul is joined by our OTHER resident Batman expert, Danny, to discuss a whole slew of Batman comics from the 1940s ( spoiler warning ): “The Case of the Chemi",p:85158195
2023-07-11,Minisode 61 | Ice Cream Man Vol. 8,,0,public-counterpart,not-patreon-exclusive,Minisode 61 | Ice Cream Man Volume 8: Subjects & Objects,p:85909675
2023-08-15,Mike's X-Men Blind Box #2 | X-Men: Deadly Genesis,Mike Rapin; Daniel Martinez; Kate Skocelas,3,description,,"The chaos of this series continues. Mike gets his hooks into Danny and Kate for another episode of the Blind Box. This time, they're reading X-Men: Deadly Genesis and Giant Sized X",p:87648692
2023-08-27,IRCB Movie Club #15: Spider-Man: Across the Spider-Verse,Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"Movie Club fans rejoice! Paul, Mike, and Brian welcome back our good pal Kev from the Austin Danger Podcast to discuss the super hero movie of the summer: Spider-Man: Across The Sp",p:88339424
2023-09-25,A Very Archie Halloween!,Kate Skocelas; Kara Szamborski,2,description,,"October is right around the corner and Kate and Kara want you to be prepared with some of the best Halloween comics around: Archie! For this episode, they read and discussed: Pep D",p:89779350
2023-10-29,A Better Batmobile S02E03: Batman in the 1950s,Paul Jaissle; René Rodriguez,2,series+description,,"SEASON TWO CONTINUES! René is back with your ever-present host, Paul, to talk about Batman in the 1950s covering... ( spoiler warning ): “The Batmen of All Nations!” Detective Comi",p:91548661
2023-12-18,IRCB Movie Club #16: Oldboy (2003),Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"Traveling back to 2003 Korea, Paul, Mike, and Brian discuss the extremely violent and time-capsule film known as Oldboy (2003) . Is this movie too edgy to be good or is this a fant",p:94845643
2023-12-31,IRCB comiXology Memoriam,Mike Rapin; Tia Vasiliou; Kara Szamborski; Daniel Martinez; Zach McCrary,5,description,,"Mike, Tia, Kara, Danny, and Zach sat down to talk about their time with and/or working for comiXology--the good, the bad, and the future. This is a really personal discussion and w",p:95136385
2024-02-02,A Better Batmobile S02E04: The Silver Age,Paul Jaissle; Kara Szamborski,2,series+description,,Kara joins Paul to dig into the Silver Age of Batman! ( spoiler warning ) This episode covers: “Batman - The Superman of Planet X” Batman # 113 (1958) “...Meets Bat-Mite!” Detectiv,p:97681247
2024-02-25,IRCB Movie Club #17: King of Comedy (1982),Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"Paul, Mike, and Brian discuss our first ever Comic Book-Adjacent movie of this (4-year+!?) series: King of Comedy (1982) . How much of this movie did Joker (2019) take inspiration ",p:99184817
2024-03-31,Saga of Saga: Volume 11,Kait Lamphere; Kara Szamborski; Mike Rapin,3,saga-volume-doc,,prep-doc notes under Volume 11,p:101434946
2024-04-28,A Better Batmobile S02E05: Bang! Pow! Batman!,Paul Jaissle; Brian Murray,2,series+description,,"Paul is joined by Brian to watch and discuss the 1966 Batman film! Plus, they dig into two Batman comics from the 1960s: “The Mystery of the Menacing Mask!” Detective Comics #237 (",p:102871577
2024-06-04,Party-Boy Wayne,Mike Rapin; Kara Szamborski,2,description,,Mike and Kara are joined by Bijhan Agha to talk comics and Bijhan's latest Kickstarter for Kobra Olympus #2! Links for this week's show: Check out the Kobra Olympus #2 Kickstarter!,p:105533453
2024-06-05,IRCB Movie Club #18: Watchmen (2009),Paul Jaissle; Brian Murray; Mike Rapin,3,series+description,,"Fair warning: Paul, Brian, and Mike tried to find something they liked about Watchmen (2009) . They get there, but it takes some time. ",p:105600333
2024-06-30,Even. More. Kickstarters,Kait Lamphere; Mike Rapin,2,description,,Kait and Mike talk about MORE KICKSTARTERS THEY LOVE. That's it. That's the episode. Here's the full show notes: More KICKSTARTERS! Mike exMag (PEOW) A Frog In The Fall Linnea Ster,p:105976405
2024-07-30,A Better Batmobile S02E06: Batman in the 1970s,Paul Jaissle; Daniel Martinez,2,series+description,,Paul is joined by Danny to talk about Batman in the 1970s! Issues Covered: “One Bullet Too Many! Batman #217 (1969) “The Secret of the Waiting Graves” Detective Comics #395 (1970) ,p:109070847
2024-09-29,The Comics That We Love - Bucky Barnes: The Winter Soldier,Tia Vasiliou; Zach McCrary,2,description,,This episode originally aired on The Comics That We Love podcast feed as episode 98. Tia and Zach have an incredible discussion about Bucky Barnes: Winter Solider and somehow manag,p:110989356
2024-10-13,IRCB Movie Club #19: Hellboy (2004),Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"Paul hosts Mike and Brian in a discussion of a comic book movie they were all very pleased to watch. Nothing better than Ron Perlman as Hellboy, right? ",p:113581774
2024-11-14,A Better Batmobile S02E07: Batman in the 1980s,Paul Jaissle; Mike Rapin,2,series+description,,Paul hosts Mike in this episode to talk about the violence and iconic stories of Batman in the 1980s. Comics Discussed: “The Laughing Fish!” Detective Comics #475 (1978) “The Kill ,p:115829680
2024-12-15,IRCB Movie Club #20: 30 Days of Night (2007),Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"Paul, Mike, and Brian dig into a wintery horror comic based movie just in time for it to really get cold (in the Northern US, at least)! ",p:118033707
2024-12-30,Kraven the Hunter (2024),Mike Rapin; Kara Szamborski; Daniel Martinez,3,description,,"Mike, Kara, and Danny all saw Kraven the Hunter (2024) . Mike has a meltdown. Kara tries to understand. Danny keeps the peace. Full spoilers ahead.",p:118922509
2025-02-09,A Better Batmobile S02E08: Batman in the 1990s!,Paul Jaissle; Kara Szamborski,2,series+description,,"Paul and Kara dig into the world of Batman in the 1990s and a bit of Paul's origins in Batman comics! “The Many Deaths of Batman” Batman #433-435 (1989) “Dark Knight, Dark City” Ba",p:121872830
2025-03-03,IRCB Movie Club #21: Superman Returns (2006),Paul Jaissle; Brian Murray; Mike Rapin,3,series+description,,"Paul, Brian, and Mike sit down for a challenging discussion about Superman Returns (2006) and a read of Superman '78 #1 -5 from DC Comics by Robert Venditti, Wilfredo Torres, Jordi",p:123499869
2025-04-27,A Better Batmobile S02E09: Morrison’s JLA,Paul Jaissle; Brian Murray,2,series+description,,Paul is back with Brian for the penultimate episode of season 2 A Better Batmobile! This time focusing on two arcs of JLA by Grant Morrison. Comics covered in this episode: “New Wo,p:127602350
2025-06-10,IRCB Movie Club #22: Edge of Tomorrow (2014),Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"Paul, Mike, and Brian watch a movie YOU voted on from our theme: Cruisin' For A Brusin'. This time - Edge of Tomorrow (2014). Who loved this one? Who hated it? LISTEN AND FIND OUT.",p:131118621
2025-08-14,A Better Batmobile S02E10: Batman in the 21st Century,Paul Jaissle; Daniel Martinez,2,series+description,,The FINAL episode of A Better Batmobile Season 2! Paul is joined by Danny to discuss the Batman stories that led right up to Grant Morrison's run on Batman. Comics covered in this ,p:136363588
2025-08-31,IRCB Movie Club #23: Train to Busan (2016),Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"Paul, Mike, and Brian dig into one of Brian's favorite films on this episode of IRCB Movie Club! ",p:137355839
2025-09-07,Wic+Div Uncovered with Kara and Tia #6,Kara Szamborski; Tia Vasiliou,2,title,,Wic+Div Uncovered with Kara and Tia #6,p:137355995
2025-10-05,Wic+Div Uncovered with Kara and Tia #7,Kara Szamborski; Tia Vasiliou,2,title,,Wic+Div Uncovered with Kara and Tia #7,p:137356453
2025-10-27,Saga of Saga Vol. 12,Kait Lamphere; Mike Rapin,2,saga-volume-doc,,prep-doc notes under Volume 12,p:142139052
2025-11-02,Wic+Div Uncovered with Kara and Tia #8,Kara Szamborski; Tia Vasiliou,2,title,,Wic+Div Uncovered with Kara and Tia #8,p:142139207
2025-12-07,Wic+Div Uncovered with Kara and Tia #9,Kara Szamborski; Tia Vasiliou,2,title,,Wic+Div Uncovered with Kara and Tia #9,p:144544524
2025-12-21,IRCB Movie Club #24: Hackers (1995),Paul Jaissle; Brian Murray; Mike Rapin,3,series+description,,Paul and Brian go on a journey into the prepubescent mind of Mike in ,p:145952293
2026-01-11,Wic+Div Uncovered with Kara and Tia #10,Kara Szamborski; Tia Vasiliou,2,title,,Wic+Div Uncovered with Kara and Tia #10,p:147612069
2026-02-08,Wic+Div Uncovered with Kara and Tia #11,Kara Szamborski; Tia Vasiliou,2,title,,Wic+Div Uncovered with Kara and Tia #11,p:147612443
2026-02-22,IRCB Movie Club #25: Repo Man (1984),Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"Paul, Mike, and Brian discuss Repo Man as voted on by YOU! They talk about the soundtrack, the action scenes, the 1980s of it all, and if the plot was even important. Written and ",p:151395534
2026-03-29,Patreon Exclusive! Comics Adapted from Novels,Kait Lamphere; Daniel Martinez; René Rodriguez,3,description,,"Kait, Danny, and René discuss comics that were prose novels first. All You Need is Kill The Hedge Knight Song of the Lioness.",p:153789421
2026-06-09,IRCB Movie Club #26: The Rocketeer (1991),Paul Jaissle; Mike Rapin; Brian Murray,3,series+description,,"Paul, Mike, and Brian tackle a Disney Classic(?) ",p:160467560
2026-06-28,I Read Star Wars Comic Books: Maul Rats,Kara Szamborski; Brian Murray,2,description,,"Kara and Brian are back on their Star Wars BS, this time discussing the recent Star Wars TV series Maul: Shadow Lord and revisiting the comic series Star Wars: Darth Maul #1-5 ",p:162272835
2026-07-26,Heroes & Oreos: IRCB Reads JLI #1,Kara Szamborski; Paul Jaissle,2,description,,"A new era of the Justice League begins amid a high watermark of tension in the Cold War - this story is very firmly grounded in the politics of its day, including specific mentions",p:164118675
2026-08-11,Post Credits: Everywhere Bagel (ft. Matt Burbridge),,0,,none-found,"Will Gambit and Doom kiss in Avengers: Doomsday (the guys try to predict the movie), Matt tells us about life in New Hampshire and potentially teaching comics students how to netwo",p:166352436
